processid,BOLDID,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,name,identification_provided_by,voucher_type,tissue_type,collectors,date,lifestage,sex,reproduction,extrainfo,notes,lat,lon,trapID,coord_source,coord_accuracy,country,province,region,exactsite,image_ids,image_urls,copyright_licenses,trace_ids,trace_links,run_dates,sequencing_centers,directions,seq_primers,marker_codes
NEONU1561-12,NEONTculicid6225,3038505, ,culicid6225,"National Ecological Observatory Network, United States", ,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,22803,Aedes canadensis,C. Roxanne Connelly, ,leg,Robert Nelson,8/23/2012,A, ,S,Contaminant, ,28.104,-81.43,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4745038|4745131,http://trace.boldsystems.org/traceIO/bold.org/6592300|http://trace.boldsystems.org/traceIO/bold.org/6592393,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1584-12,NEONTculicid6294,3038528, ,culicid6294,"National Ecological Observatory Network, United States",BOLD:ACC4707,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,281661,Psorophora ferox,Hilda Lynn, ,leg,Robert Nelson,8/2/2012,A, ,S, , ,28.104,-81.43,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4745061|4745154,http://trace.boldsystems.org/traceIO/bold.org/6592323|http://trace.boldsystems.org/traceIO/bold.org/6592416,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1595-12,NEONTculicid6569,3038539, ,culicid6569,"National Ecological Observatory Network, United States",BOLD:ABY6840,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,22813,Aedes sollicitans,Hilda Lynn, ,leg,Robert Nelson,7/11/2012,A, ,S,Group variation (morph), ,28.104,-81.43,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4745072|4745165,http://trace.boldsystems.org/traceIO/bold.org/6592334|http://trace.boldsystems.org/traceIO/bold.org/6592427,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1577-12,NEONTculicid6288,3038521, ,culicid6288,"National Ecological Observatory Network, United States",BOLD:AAG3848,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,101380,Culex erraticus,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745054|4745147,http://trace.boldsystems.org/traceIO/bold.org/6592316|http://trace.boldsystems.org/traceIO/bold.org/6592409,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1581-12,NEONTculicid6292,3038525, ,culicid6292,"National Ecological Observatory Network, United States",BOLD:AAG3850,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,510727,Psorophora columbiae,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745058|4745151,http://trace.boldsystems.org/traceIO/bold.org/6592320|http://trace.boldsystems.org/traceIO/bold.org/6592413,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1605-12,NEONTculicid6568,3038549, ,culicid6568,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373199,Aedes taeniorhynchus,Hilda Lynn, ,leg,Robert Nelson,7/11/2012,A, ,S,Group variation (morph), ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4767924|4767915|4767918|4767921,http://trace.boldsystems.org/traceIO/bold.org/6615186|http://trace.boldsystems.org/traceIO/bold.org/6615177|http://trace.boldsystems.org/traceIO/bold.org/6615180|http://trace.boldsystems.org/traceIO/bold.org/6615183,2013-01-18 03:02:40|2013-01-17 20:50:09|2013-01-17 22:22:03|2013-01-18 01:31:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario|Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R|F|R,C_LepFolF|C_LepFolR|MLepF1|MLepR2,COI-5P|COI-5P|COI-5P|COI-5P
NEONU1567-12,NEONTculicid6231,3038511, ,culicid6231,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745044|4745137,http://trace.boldsystems.org/traceIO/bold.org/6592306|http://trace.boldsystems.org/traceIO/bold.org/6592399,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1580-12,NEONTculicid6291,3038524, ,culicid6291,"National Ecological Observatory Network, United States",BOLD:AAG3850,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,510727,Psorophora columbiae,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745057|4745150,http://trace.boldsystems.org/traceIO/bold.org/6592319|http://trace.boldsystems.org/traceIO/bold.org/6592412,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1570-12,NEONTculicid6233,3038514, ,culicid6233,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745047|4745140,http://trace.boldsystems.org/traceIO/bold.org/6592309|http://trace.boldsystems.org/traceIO/bold.org/6592402,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1573-12,NEONTculicid6284,3038517, ,culicid6284,"National Ecological Observatory Network, United States",BOLD:AAC2281,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2182,Anophelinae,7809,Anopheles,15255,Anopheles quadrimaculatus,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745050|4745143,http://trace.boldsystems.org/traceIO/bold.org/6592312|http://trace.boldsystems.org/traceIO/bold.org/6592405,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1566-12,NEONTculicid6230,3038510, ,culicid6230,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745043|4745136,http://trace.boldsystems.org/traceIO/bold.org/6592305|http://trace.boldsystems.org/traceIO/bold.org/6592398,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1574-12,NEONTculicid6285,3038518, ,culicid6285,"National Ecological Observatory Network, United States",BOLD:AAF1735,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,340694,Culex nigripalpus,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745051|4745144,http://trace.boldsystems.org/traceIO/bold.org/6592313|http://trace.boldsystems.org/traceIO/bold.org/6592406,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1562-12,NEONTculicid6226,3038506, ,culicid6226,"National Ecological Observatory Network, United States",BOLD:AAG3849,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,340693,Psorophora ciliata,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S,singleton, ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745039|4745132,http://trace.boldsystems.org/traceIO/bold.org/6592301|http://trace.boldsystems.org/traceIO/bold.org/6592394,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1582-12,NEONTculicid6293,3038526, ,culicid6293,"National Ecological Observatory Network, United States",BOLD:AAC3206,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6442,Mansonia,101376,Mansonia titillans,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S,singleton, ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745059|4745152,http://trace.boldsystems.org/traceIO/bold.org/6592321|http://trace.boldsystems.org/traceIO/bold.org/6592414,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1607-12,NEONTculicid6616,3038551, ,culicid6616,"National Ecological Observatory Network, United States",BOLD:AAG3848,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,101380,Culex erraticus,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745084|4745177,http://trace.boldsystems.org/traceIO/bold.org/6592346|http://trace.boldsystems.org/traceIO/bold.org/6592439,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1563-12,NEONTculicid6227,3038507, ,culicid6227,"National Ecological Observatory Network, United States",BOLD:AAC9486,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373188,Aedes infirmatus,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745040|4745133,http://trace.boldsystems.org/traceIO/bold.org/6592302|http://trace.boldsystems.org/traceIO/bold.org/6592395,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1568-12,NEONTculicid6232,3038512, ,culicid6232,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745138|4745045,http://trace.boldsystems.org/traceIO/bold.org/6592400|http://trace.boldsystems.org/traceIO/bold.org/6592307,2013-01-09 04:30:19|2013-01-09 02:58:53,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,R|F,C_LepFolR|C_LepFolF,COI-5P|COI-5P
NEONU1589-12,NEONTculicid6420,3038533, ,culicid6420,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373199,Aedes taeniorhynchus,Hilda Lynn, ,leg,Robert Nelson,7/11/2012,A, ,S,Group variation (morph), ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745066|4745159,http://trace.boldsystems.org/traceIO/bold.org/6592328|http://trace.boldsystems.org/traceIO/bold.org/6592421,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1590-12,NEONTculicid6421,3038534, ,culicid6421,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373199,Aedes taeniorhynchus,Hilda Lynn, ,leg,Robert Nelson,7/11/2012,A, ,S,Group variation (morph), ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745067|4745160,http://trace.boldsystems.org/traceIO/bold.org/6592329|http://trace.boldsystems.org/traceIO/bold.org/6592422,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1592-12,NEONTculicid6564,3038536, ,culicid6564,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373199,Aedes taeniorhynchus,Hilda Lynn, ,leg,Robert Nelson,7/11/2012,A, ,S,Group variation (morph), ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745069|4745162,http://trace.boldsystems.org/traceIO/bold.org/6592331|http://trace.boldsystems.org/traceIO/bold.org/6592424,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1564-12,NEONTculicid6228,3038508, ,culicid6228,"National Ecological Observatory Network, United States",BOLD:AAC9486,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373188,Aedes infirmatus,Hilda Lynn, ,leg,Robert Nelson,8/23/2012,A, ,S, , ,28.044,-81.422,2, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745041|4745134,http://trace.boldsystems.org/traceIO/bold.org/6592303|http://trace.boldsystems.org/traceIO/bold.org/6592396,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
